1 Baps 3 00
2 Baptiste 2 30
3 Baps 2 10
4 Baptiste2 2 05
5 Baptiste 2 03
6 Simon 2 01
7 Baptiste 2 00
8 Simon 1 52
9 Moi 1 51
10 Baps 1 49
11 Moi 1 47
12 Quelqu'un 1 45
13 Personne 1 43
14  1 39
15  1 38
16  1 32
17 Antoine 1 30
18 Baptiste 1 30
19 Moi 1 30
20  1 26
